code,name
300821.SZ,东岳硅材
603915.SS,国茂股份
000505.SZ,京粮控股
603815.SS,交建股份
300921.SZ,南凌科技
001285.SZ,瑞立科密
601888.SS,中国中免
688511.SS,天微电子
300483.SZ,首华燃气
603051.SS,鹿山新材
300165.SZ,天瑞仪器
301303.SZ,真兰仪表
300634.SZ,彩讯股份
600859.SS,王府井
603700.SS,宁水集团
002598.SZ,ST章鼓
601988.SS,中国银行
300583.SZ,赛托生物
688411.SS,海博思创
002498.SZ,汉缆股份
300065.SZ,海兰信
301552.SZ,科力装备
603151.SS,邦基科技
603600.SS,永艺股份
600959.SS,江苏有线
301203.SZ,国泰环保
002947.SZ,恒铭达
600486.SS,扬农化工
600160.SS,XD巨化股
603968.SS,醋化股份
600586.SS,金晶科技
002847.SZ,盐津铺子
600060.SS,海信视像
603868.SS,飞科电器
600731.SS,湖南海利
002003.SZ,伟星股份
002752.SZ,昇兴股份
300118.SZ,东方日升
600824.SS,益民集团
300649.SZ,杭州园林
002103.SZ,广博股份
002652.SZ,扬子新材
300018.SZ,中元股份
300749.SZ,顶固集创
600847.SS,万里股份
002586.SZ,ST围海
002060.SZ,广东建工
002731.SZ,ST萃华
002486.SZ,嘉麟杰
002160.SZ,常铝股份
002631.SZ,德尔未来
601996.SS,丰林集团
600103.SS,青山纸业
002824.SZ,和胜股份
603032.SS,德新科技
300106.SZ,西部牧业
300657.SZ,弘信电子
301360.SZ,荣旗科技
603285.SS,键邦股份
688223.SS,晶科能源
300006.SZ,莱美药业
603132.SS,金徽股份
603663.SS,三祥新材
300757.SZ,罗博特科
301260.SZ,格力博
603385.SS,惠达卫浴
688323.SS,瑞华泰
688472.SS,阿特斯
300842.SZ,帝科股份
603976.SS,正川股份
601318.SS,中国平安
002959.SZ,小熊电器
600498.SS,烽火通信
601218.SS,吉鑫科技
603876.SS,鼎胜新材
300942.SZ,易瑞生物
605333.SS,沪光股份
600598.SS,北大荒
000566.SZ,海南海药
002859.SZ,洁美科技
300366.SZ,ST创意
300437.SZ,清水源
301100.SZ,风光股份
000813.SZ,德展健康
300680.SZ,隆盛科技
688712.SS,北芯生命
603352.SS,至信股份
300266.SZ,兴源环境
300537.SZ,广信材料
301000.SZ,肇民科技
688143.SS,长盈通
688612.SS,威迈斯
300780.SZ,德恩精工
000913.SZ,钱江摩托
300895.SZ,铜牛信息
001331.SZ,胜通能源
000157.SZ,中联重科
001231.SZ,农心科技
688807.SS,优迅股份
300995.SZ,奇德新材
688289.SS,圣湘生物
002200.SZ,交投生态
002551.SZ,尚荣医疗
603098.SS,森特股份
688389.SS,普门科技
603198.SS,迎驾贡酒
600990.SS,四创电子
002300.SZ,太阳电缆
002451.SZ,摩恩电气
600363.SS,联创光电
600685.SS,中船防务
605299.SS,舒华体育
601005.SS,重庆钢铁
605399.SS,晨光新材
600785.SS,新华百货
600300.SS,维维股份
601166.SS,兴业银行
002990.SZ,盛视科技
000718.SZ,苏宁环球
000049.SZ,德赛电池
688819.SS,XD天能股
002890.SZ,弘宇股份
601066.SS,中信建投
600551.SS,时代出版
002263.SZ,大东南
003005.SZ,竞业达
002532.SZ,天山铝业
002785.SZ,万里石
300378.SZ,鼎捷数智
300429.SZ,强力新材
002363.SZ,隆基机械
002432.SZ,九安医疗
300278.SZ,华昌达
300529.SZ,健帆生物
002685.SZ,华东重机
000665.SZ,湖北广电
605287.SS,德才股份
000034.SZ,神州数码
688020.SS,方邦股份
603086.SS,先达股份
300305.SZ,裕兴股份
301632.SZ,广东建科
688297.SS,中无人机
603231.SS,索宝蛋白
301163.SZ,宏德股份
300454.SZ,深信服
301585.SZ,蓝宇股份
688120.SS,华海清科
603186.SS,华正新材
688671.SS,碧兴物联
000970.SZ,中科三环
603331.SS,百达精工
300205.SZ,*ST天喻
301063.SZ,海锅股份
300554.SZ,三超新材
688600.SS,皖仪科技
300792.SZ,壹网壹创
688151.SS,华强科技
000901.SZ,航天科技
300525.SZ,博思软件
301012.SZ,扬电科技
300274.SZ,阳光电源
002689.SZ,ST远智
003009.SZ,中天火箭
000801.SZ,四川九洲
300692.SZ,中赋科技
688700.SS,东威科技
688051.SS,佳华科技
002789.SZ,*ST建艺
603511.SS,爱慕股份
300425.SZ,中建环能
301112.SZ,信邦智能
300374.SZ,中铁装配
000045.SZ,深纺织Ａ
001223.SZ,欧克科技
300987.SZ,川网传媒
300887.SZ,谱尼测试
001323.SZ,慕思股份
600982.SS,宁波能源
301589.SZ,诺瓦星云
002443.SZ,金洲管道
002312.SZ,川发龙蟒
300558.SZ,贝达药业
300209.SZ,行云科技
002543.SZ,万和电气
002212.SZ,天融信
600882.SS,妙可蓝多
301489.SZ,思泉新材
300458.SZ,全志科技
600797.SS,浙大网新
600520.SS,三佳科技
600271.SS,航天信息
600697.SS,欧亚集团
000669.SZ,ST金鸿
600420.SS,国药现代
601117.SS,中国化学
600371.SS,万向德农
002882.SZ,金龙羽
600543.SS,*ST莫高
600212.SS,绿能慧充
300999.SZ,金龙鱼
600312.SS,平高电气
002982.SZ,湘佳股份
300899.SZ,上海凯鑫
002697.SZ,红旗连锁
002420.SZ,毅昌科技
002371.SZ,北方华创
002797.SZ,第一创业
003017.SZ,大洋生物
002520.SZ,日发精机
002271.SZ,东方雨虹
605122.SS,四方新材
601009.SS,南京银行
000026.SZ,飞亚达
000777.SZ,中核科技
600789.SS,鲁抗医药
601658.SS,邮储银行
600689.SS,上海三毛
000677.SZ,ST海龙
301071.SZ,力量钻石
300546.SZ,雄帝科技
688385.SS,复旦微电
603323.SS,苏农银行
300217.SZ,东方电热
688663.SS,新风光
688132.SS,邦彦技术
603194.SS,中力股份
000962.SZ,东方钽业
301171.SZ,易点天下
300446.SZ,航天智造
300317.SZ,珈伟新能
688285.SS,高铁电气
603223.SS,恒通股份
000862.SZ,银星能源
688032.SS,禾迈股份
000595.SZ,*ST宝实
605177.SS,东亚药业
603885.SS,XD吉祥航
001215.SZ,千味央厨
000722.SZ,湖南发展
605077.SS,华康股份
603985.SS,恒润股份
603376.SS,大明电子
601918.SS,新集能源
300242.SZ,佳云科技
301024.SZ,霍普股份
300513.SZ,恒实科技
000937.SZ,冀中能源
002408.SZ,齐翔腾达
688167.SS,炬光科技
688636.SS,智明达
603690.SS,至纯科技
301293.SZ,三博脑科
300342.SZ,天银机电
601818.SS,光大银行
603276.SS,恒兴新材
688581.SS,安杰思
603527.SS,众源新材
300413.SZ,芒果超媒
688067.SS,爱威科技
301393.SZ,昊帆生物
603790.SS,雅运股份
000837.SZ,秦川机床
002259.SZ,升达林业
002508.SZ,老板电器
601021.SS,春秋航空
600516.SS,方大炭素
001268.SZ,联合精密
601121.SS,宝地矿业
600416.SS,湘电股份
001368.SZ,通达创智
002193.SZ,ST如意
601965.SS,中国汽研
301059.SZ,金三江
002324.SZ,普利特
002475.SZ,立讯精密
300088.SZ,长信科技
601865.SS,福莱特
301608.SZ,博实结
301159.SZ,三维天地
002093.SZ,国脉科技
300188.SZ,国投智能
002224.SZ,三 力 士
003042.SZ,中农联合
002575.SZ,群兴玩具
000929.SZ,*ST兰黄
002347.SZ,泰尔股份
002416.SZ,爱施德
688179.SS,阿拉丁
688628.SS,优利德
603368.SS,柳药集团
603439.SS,三力制药
688079.SS,美迪凯
688728.SS,格科微
002247.SZ,聚力文化
000829.SZ,天音控股
002516.SZ,旷达科技
003021.SZ,兆威机电
603268.SS,松发股份
600575.SS,淮河能源
605169.SS,洪通燃气
600193.SS,退市创兴
605069.SS,正和生态
600475.SS,华光环能
300096.SZ,ST易联众
688655.SS,迅捷兴
603315.SS,福鞍股份
300221.SZ,银禧科技
300570.SZ,太辰光
301047.SZ,义翘神州
603444.SS,吉比特
688004.SS,博汇科技
300196.SZ,长海股份
688755.SS,汉邦科技
301616.SZ,浙江华业
300321.SZ,同大股份
603215.SS,比依股份
300470.SZ,中密控股
601288.SS,农业银行
000010.SZ,*ST美丽
600259.SS,中稀有色
600508.SS,上海能源
001376.SZ,百通能源
601388.SS,怡球资源
600359.SS,新农开发
600408.SS,安泰集团
000630.SZ,铜陵有色
603997.SS,继峰股份
600479.SS,千金药业
600328.SS,中盐化工
603897.SS,长城科技
000061.SZ,农 产 品
001207.SZ,联科科技
600579.SS,中化装备
600228.SS,返利科技
301381.SZ,赛维时代
688075.SS,安旭生物
000825.SZ,太钢不锈
688593.SS,新相微
603535.SS,嘉诚国际
301136.SZ,招标股份
300401.SZ,花园生物
300350.SZ,华鹏飞
301667.SZ,纳百川
000925.SZ,众合科技
603682.SS,锦和商管
301281.SZ,科源制药
688175.SS,高凌信息
301036.SZ,双乐股份
300501.SZ,海顺新材
300250.SZ,初灵信息
605018.SS,长华集团
601133.SS,柏诚股份
600355.SS,*ST精伦
601033.SS,永兴股份
600255.SS,鑫科材料
605118.SS,力鼎光电
688759.SS,必贝特-U
688008.SS,澜起科技
002567.SZ,唐人神
000858.SZ,五 粮 液
002236.SZ,大华股份
601877.SS,正泰电器
603219.SS,富佳股份
002081.SZ,金 螳 螂
002467.SZ,二六三
000958.SZ,电投产融
688659.SS,元琛科技
688108.SS,赛诺医疗
002181.SZ,粤 传 媒
603319.SS,美湖股份
301128.SZ,强瑞技术
003033.SZ,征和工业
002255.SZ,海陆重工
301028.SZ,鼎熔岩
002404.SZ,嘉欣丝绸
002355.SZ,兴民智通
600467.SS,好当家
601601.SS,中国太保
600336.SS,澳柯玛
001319.SZ,铭科精技
603989.SS,艾华集团
600567.SS,山鹰国际
600236.SS,桂冠电力
000599.SZ,青岛双星
603889.SS,新澳股份
600081.SS,东风科技
001219.SZ,青岛食品
603556.SS,海兴电力
300462.SZ,ST华铭
301155.SZ,海力风电
300333.SZ,兆日科技
603207.SS,小方制药
601869.SS,长飞光纤
688016.SS,心脉医疗
300184.SZ,力源信息
002579.SZ,中京电子
002228.SZ,合兴包装
300562.SZ,乐心医疗
301055.SZ,张小泉
603456.SS,XD九洲药
601969.SS,海南矿业
603307.SS,扬州金泉
300233.SZ,金城医药
002479.SZ,富春环保
002328.SZ,新朋股份
300084.SZ,海默科技
688116.SS,天奈科技
605006.SS,山东玻纤
000002.SZ,万  科Ａ
000753.SZ,漳州发展
300539.SZ,横河精密
300268.SZ,佳沃食品
002695.SZ,煌上煌
002422.SZ,科伦药业
002373.SZ,千方科技
002795.SZ,永和智控
300439.SZ,美康生物
300368.SZ,汇金股份
002522.SZ,浙江众成
003015.SZ,日久光电
002273.SZ,水晶光电
002880.SZ,卫光生物
601727.SS,上海电气
600210.SS,紫江企业
000059.SZ,华锦股份
000708.SZ,中信特钢
688809.SS,强一股份
600310.SS,广西能源
002980.SZ,华盛昌
000159.SZ,国际实业
000608.SZ,阳光股份
301073.SZ,君亭酒店
300215.SZ,电科院
688387.SS,信科移动-U
603321.SS,梅轮电梯
688661.SS,和林微纳
688130.SS,晶华微
603196.SS,璞源材料
301595.SZ,太力科技
000960.SZ,锡业股份
300444.SZ,双杰电气
301173.SZ,毓恬冠佳
688287.SS,退市观典
603221.SS,爱丽家居
301622.SZ,英思特
300315.SZ,掌趣科技
000860.SZ,顺鑫农业
688030.SS,山石网科
603096.SS,新经典
605020.SS,永和股份
001221.SZ,悍高集团
000716.SZ,黑芝麻
300985.SZ,致远新能
601068.SS,中铝国际
300885.SZ,海昌新材
601168.SS,西部矿业
300790.SZ,宇瞳光学
688602.SS,康鹏科技
688153.SS,唯捷创芯
000903.SZ,ST云动
301010.SZ,晶雪节能
300527.SZ,ST应急
300276.SZ,三丰智能
000803.SZ,山高环能
688702.SS,盛科通信-U
300690.SZ,双一科技
688053.SS,ST思科瑞
301110.SZ,青木科技
300427.SZ,红相股份
300376.SZ,易事特
605389.SS,长龄液压
600795.SS,国电电力
601015.SS,陕西黑猫
600522.SS,中天科技
600273.SS,嘉化能源
605289.SS,罗曼股份
600422.SS,昆药集团
600373.SS,中文传媒
600980.SS,北矿科技
603188.SS,亚邦股份
002441.SZ,众业达
002310.SZ,东方新能
688399.SS,硕世生物
002541.SZ,鸿路钢构
002210.SZ,飞马国际
600880.SS,博瑞传播
603088.SS,宁波精达
688299.SS,长阳科技
002261.SZ,拓维信息
002530.SZ,金财互联
003007.SZ,直真科技
002787.SZ,华源控股
002361.SZ,神剑股份
002430.SZ,杭氧股份
002687.SZ,乔治白
300889.SZ,爱克股份
600302.SS,ST标准
002992.SZ,宝明科技
300989.SZ,蕾奥规划
002892.SZ,科力尔
600202.SS,哈空调
301487.SZ,盟固利
688022.SS,ST瀚川
688295.SS,中复神鹰
603233.SS,大参林
301630.SZ,同宇新材
300307.SZ,慈星股份
300456.SZ,赛微电子
301161.SZ,唯万密封
688122.SS,西部超导
301587.SZ,中瑞股份
000972.SZ,*ST中基
300207.SZ,欣旺达
688395.SS,正弦电气
603333.SS,尚纬股份
300556.SZ,丝路视觉
301061.SZ,匠心家居
600699.SS,均胜电子
