pullback_ratio_min,pullback_ratio_max,volume_shrink_ratio,take_profit,stop_loss,hold_days,min_entity_board_ratio,min_consecutive_limit_up,require_oversold,require_low_close,volume_shrink_ratio_min,win_rate,avg_return,total_return,signal_count,profit_factor,sharpe,sortino,max_drawdown,score
0.132,0.199,0.37,0.047,-0.088,10,0.35,2,False,False,0.1,0.8767,0.0345,128.1202,146,0.89,14.98,5.0,-17.19,0.9542
0.132,0.199,0.37,0.047,-0.088,11,0.25,2,False,False,0.1,0.8767,0.0345,128.1202,146,0.89,14.98,5.0,-17.19,0.9542
0.132,0.199,0.37,0.047,-0.088,11,0.15,2,False,False,0.1,0.8767,0.0345,128.1202,146,0.89,14.98,5.0,-17.19,0.9542
0.132,0.199,0.37,0.047,-0.088,11,0.1,2,False,False,0.1,0.8767,0.0345,128.1202,146,0.89,14.98,5.0,-17.19,0.9542
0.132,0.199,0.37,0.047,-0.088,11,0.35,2,False,False,0.1,0.8767,0.0345,128.1202,146,0.89,14.98,5.0,-17.19,0.9542
0.132,0.199,0.37,0.047,-0.088,10,0.25,2,False,False,0.1,0.8767,0.0345,128.1202,146,0.89,14.98,5.0,-17.19,0.9542
0.132,0.199,0.37,0.047,-0.088,10,0.2,2,False,False,0.1,0.8767,0.0345,128.1202,146,0.89,14.98,5.0,-17.19,0.9542
0.132,0.199,0.37,0.047,-0.088,10,0.15,2,False,False,0.1,0.8767,0.0345,128.1202,146,0.89,14.98,5.0,-17.19,0.9542
0.132,0.199,0.37,0.047,-0.088,10,0.1,2,False,False,0.1,0.8767,0.0345,128.1202,146,0.89,14.98,5.0,-17.19,0.9542
0.132,0.199,0.37,0.047,-0.088,12,0.1,2,False,False,0.1,0.8767,0.0345,128.1202,146,0.89,14.98,5.0,-17.19,0.9542
0.132,0.199,0.37,0.047,-0.088,12,0.15,2,False,False,0.1,0.8767,0.0345,128.1202,146,0.89,14.98,5.0,-17.19,0.9542
0.132,0.199,0.37,0.047,-0.088,12,0.2,2,False,False,0.1,0.8767,0.0345,128.1202,146,0.89,14.98,5.0,-17.19,0.9542
0.132,0.199,0.37,0.047,-0.088,12,0.25,2,False,False,0.1,0.8767,0.0345,128.1202,146,0.89,14.98,5.0,-17.19,0.9542
0.132,0.199,0.37,0.047,-0.088,12,0.35,2,False,False,0.1,0.8767,0.0345,128.1202,146,0.89,14.98,5.0,-17.19,0.9542
0.132,0.199,0.37,0.047,-0.088,11,0.2,2,False,False,0.1,0.8767,0.0345,128.1202,146,0.89,14.98,5.0,-17.19,0.9542
0.132,0.208,0.37,0.047,-0.088,10,0.25,2,False,False,0.1,0.8654,0.0327,132.1866,156,0.81,13.15,5.0,-17.19,0.9529
0.132,0.208,0.37,0.047,-0.088,10,0.2,2,False,False,0.1,0.8654,0.0327,132.1866,156,0.81,13.15,5.0,-17.19,0.9529
0.132,0.208,0.37,0.047,-0.088,10,0.1,2,False,False,0.1,0.8654,0.0327,132.1866,156,0.81,13.15,5.0,-17.19,0.9529
0.132,0.208,0.37,0.047,-0.088,10,0.15,2,False,False,0.1,0.8654,0.0327,132.1866,156,0.81,13.15,5.0,-17.19,0.9529
0.132,0.208,0.37,0.047,-0.088,12,0.35,2,False,False,0.1,0.8654,0.0327,132.1866,156,0.81,13.15,5.0,-17.19,0.9529
0.132,0.208,0.37,0.047,-0.088,10,0.35,2,False,False,0.1,0.8654,0.0327,132.1866,156,0.81,13.15,5.0,-17.19,0.9529
0.132,0.208,0.37,0.047,-0.088,11,0.1,2,False,False,0.1,0.8654,0.0327,132.1866,156,0.81,13.15,5.0,-17.19,0.9529
0.132,0.208,0.37,0.047,-0.088,11,0.15,2,False,False,0.1,0.8654,0.0327,132.1866,156,0.81,13.15,5.0,-17.19,0.9529
0.132,0.208,0.37,0.047,-0.088,11,0.2,2,False,False,0.1,0.8654,0.0327,132.1866,156,0.81,13.15,5.0,-17.19,0.9529
0.132,0.208,0.37,0.047,-0.088,11,0.25,2,False,False,0.1,0.8654,0.0327,132.1866,156,0.81,13.15,5.0,-17.19,0.9529
0.132,0.208,0.37,0.047,-0.088,11,0.35,2,False,False,0.1,0.8654,0.0327,132.1866,156,0.81,13.15,5.0,-17.19,0.9529
0.132,0.208,0.37,0.047,-0.088,12,0.1,2,False,False,0.1,0.8654,0.0327,132.1866,156,0.81,13.15,5.0,-17.19,0.9529
0.132,0.208,0.37,0.047,-0.088,12,0.15,2,False,False,0.1,0.8654,0.0327,132.1866,156,0.81,13.15,5.0,-17.19,0.9529
0.132,0.208,0.37,0.047,-0.088,12,0.25,2,False,False,0.1,0.8654,0.0327,132.1866,156,0.81,13.15,5.0,-17.19,0.9529
