pullback_ratio_min,pullback_ratio_max,volume_shrink_ratio,take_profit,stop_loss,hold_days,min_entity_board_ratio,min_consecutive_limit_up,require_oversold,require_low_close,volume_shrink_ratio_min,win_rate,avg_return,total_return,signal_count,profit_factor,sharpe,sortino,max_drawdown,score
0.11,0.21,0.34,0.037,-0.108,12,0.4,2,False,False,0.1,0.9056,0.0304,206.1662,180,1.24,19.56,5,-15.16,0.9669
0.11,0.21,0.34,0.037,-0.103,12,0.45,2,False,False,0.1,0.9056,0.0305,210.8611,180,1.3,20.15,5,-14.2,0.9669
0.11,0.21,0.34,0.037,-0.108,12,0.45,2,False,False,0.1,0.9056,0.0304,206.1662,180,1.24,19.56,5,-15.16,0.9669
0.11,0.21,0.34,0.037,-0.103,12,0.25,2,False,False,0.1,0.9056,0.0305,210.8611,180,1.3,20.15,5,-14.2,0.9669
0.11,0.21,0.34,0.037,-0.103,12,0.3,2,False,False,0.1,0.9056,0.0305,210.8611,180,1.3,20.15,5,-14.2,0.9669
0.11,0.21,0.34,0.037,-0.108,12,0.35,2,False,False,0.1,0.9056,0.0304,206.1662,180,1.24,19.56,5,-15.16,0.9669
0.11,0.21,0.34,0.037,-0.103,12,0.35,2,False,False,0.1,0.9056,0.0305,210.8611,180,1.3,20.15,5,-14.2,0.9669
0.11,0.21,0.34,0.037,-0.103,12,0.4,2,False,False,0.1,0.9056,0.0305,210.8611,180,1.3,20.15,5,-14.2,0.9669
0.11,0.21,0.34,0.037,-0.108,12,0.3,2,False,False,0.1,0.9056,0.0304,206.1662,180,1.24,19.56,5,-15.16,0.9669
0.11,0.21,0.34,0.037,-0.108,12,0.25,2,False,False,0.1,0.9056,0.0304,206.1662,180,1.24,19.56,5,-15.16,0.9669
0.11,0.18,0.34,0.037,-0.103,12,0.25,2,False,False,0.1,0.9051,0.03,100.8243,158,1.14,18.94,5,-17.1,0.9668
0.11,0.18,0.34,0.037,-0.098,12,0.45,2,False,False,0.1,0.9051,0.0302,103.1189,158,1.19,19.54,5,-16.17,0.9668
0.11,0.18,0.34,0.037,-0.098,12,0.4,2,False,False,0.1,0.9051,0.0302,103.1189,158,1.19,19.54,5,-16.17,0.9668
0.11,0.18,0.34,0.037,-0.098,12,0.35,2,False,False,0.1,0.9051,0.0302,103.1189,158,1.19,19.54,5,-16.17,0.9668
0.11,0.18,0.34,0.037,-0.103,12,0.35,2,False,False,0.1,0.9051,0.03,100.8243,158,1.14,18.94,5,-17.1,0.9668
0.11,0.18,0.34,0.037,-0.098,12,0.3,2,False,False,0.1,0.9051,0.0302,103.1189,158,1.19,19.54,5,-16.17,0.9668
0.11,0.18,0.34,0.037,-0.098,12,0.25,2,False,False,0.1,0.9051,0.0302,103.1189,158,1.19,19.54,5,-16.17,0.9668
0.11,0.18,0.34,0.037,-0.103,12,0.45,2,False,False,0.1,0.9051,0.03,100.8243,158,1.14,18.94,5,-17.1,0.9668
0.11,0.18,0.34,0.037,-0.103,12,0.3,2,False,False,0.1,0.9051,0.03,100.8243,158,1.14,18.94,5,-17.1,0.9668
0.11,0.18,0.34,0.037,-0.103,12,0.4,2,False,False,0.1,0.9051,0.03,100.8243,158,1.14,18.94,5,-17.1,0.9668
0.11,0.22,0.34,0.037,-0.103,12,0.45,2,False,False,0.1,0.9043,0.0305,268.51,188,1.37,20.49,5,-14.2,0.9665
0.11,0.22,0.34,0.037,-0.103,12,0.25,2,False,False,0.1,0.9043,0.0305,268.51,188,1.37,20.49,5,-14.2,0.9665
