min_consecutive_limit_up,min_entity_board_ratio,pullback_ratio_min,pullback_ratio_max,volume_shrink_ratio,volume_shrink_ratio_min,take_profit,stop_loss,hold_days,require_oversold,require_low_close,win_rate,avg_return,total_return,signal_count,profit_factor,sharpe,sortino,max_drawdown,score
2,0.6,0.08,0.1,0.45,0.1,0.07,-0.12,10,False,False,0.5,0.0301,1.4148,32,3.63,7.27,5.0,-12.2,0.7463
2,0.6,0.08,0.1,0.45,0.0,0.07,-0.12,10,False,False,0.5,0.0301,1.4148,32,3.63,7.27,5.0,-12.2,0.7463
2,0.6,0.08,0.1,0.45,0.05,0.07,-0.12,10,False,False,0.5,0.0301,1.4148,32,3.63,7.27,5.0,-12.2,0.7463
2,0.6,0.02,0.1,0.75,0.0,0.03,-0.15,5,False,False,0.592,0.0112,46.9508,375,1.85,4.6,5.0,-40.45,0.7317
2,0.6,0.02,0.1,0.75,0.05,0.03,-0.15,5,False,False,0.592,0.0112,46.9508,375,1.85,4.6,5.0,-40.45,0.7317
2,0.6,0.02,0.1,0.75,0.1,0.03,-0.15,5,False,False,0.592,0.0112,46.9508,375,1.85,4.6,5.0,-40.45,0.7317
2,0.3,0.02,0.1,0.75,0.1,0.03,-0.15,5,False,False,0.5873,0.0113,62.1891,395,1.96,4.77,5.0,-38.79,0.731
2,0.3,0.02,0.1,0.75,0.0,0.03,-0.15,5,False,False,0.5873,0.0113,62.1891,395,1.96,4.77,5.0,-38.79,0.731
2,0.15,0.02,0.1,0.75,0.0,0.03,-0.15,5,False,False,0.5873,0.0113,62.1891,395,1.96,4.77,5.0,-38.79,0.731
2,0.15,0.02,0.1,0.75,0.05,0.03,-0.15,5,False,False,0.5873,0.0113,62.1891,395,1.96,4.77,5.0,-38.79,0.731
2,0.15,0.02,0.1,0.75,0.1,0.03,-0.15,5,False,False,0.5873,0.0113,62.1891,395,1.96,4.77,5.0,-38.79,0.731
2,0.3,0.02,0.1,0.75,0.05,0.03,-0.15,5,False,False,0.5873,0.0113,62.1891,395,1.96,4.77,5.0,-38.79,0.731
2,0.45,0.02,0.1,0.75,0.0,0.03,-0.15,5,False,False,0.5863,0.0113,60.4692,394,1.96,4.75,5.0,-38.79,0.7304
2,0.45,0.02,0.1,0.75,0.1,0.03,-0.15,5,False,False,0.5863,0.0113,60.4692,394,1.96,4.75,5.0,-38.79,0.7304
2,0.45,0.02,0.1,0.75,0.05,0.03,-0.15,5,False,False,0.5863,0.0113,60.4692,394,1.96,4.75,5.0,-38.79,0.7304
2,0.6,0.08,0.1,0.45,0.05,0.07,-0.12,7,False,False,0.4688,0.028,1.2611,32,3.91,6.77,5.0,-12.2,0.7219
2,0.6,0.08,0.42,0.45,0.0,0.03,-0.15,10,False,False,0.5767,0.0105,3.7755,163,1.77,4.13,5.0,-27.55,0.7219
2,0.6,0.08,0.42,0.45,0.05,0.03,-0.15,10,False,False,0.5767,0.0105,3.7755,163,1.77,4.13,5.0,-27.55,0.7219
2,0.6,0.08,0.42,0.45,0.1,0.03,-0.15,10,False,False,0.5767,0.0105,3.7755,163,1.77,4.13,5.0,-27.55,0.7219
2,0.6,0.08,0.1,0.45,0.1,0.07,-0.12,7,False,False,0.4688,0.028,1.2611,32,3.91,6.77,5.0,-12.2,0.7219
2,0.6,0.08,0.1,0.45,0.0,0.07,-0.12,7,False,False,0.4688,0.028,1.2611,32,3.91,6.77,5.0,-12.2,0.7219
2,0.6,0.08,0.34,0.45,0.0,0.03,-0.15,10,False,False,0.5741,0.0104,3.6455,162,1.77,4.08,5.0,-27.55,0.7203
2,0.6,0.08,0.34,0.45,0.05,0.03,-0.15,10,False,False,0.5741,0.0104,3.6455,162,1.77,4.08,5.0,-27.55,0.7203
2,0.6,0.08,0.34,0.45,0.1,0.03,-0.15,10,False,False,0.5741,0.0104,3.6455,162,1.77,4.08,5.0,-27.55,0.7203
2,0.6,0.02,0.18,0.75,0.1,0.03,-0.15,5,False,False,0.5818,0.01,266.6515,617,1.67,3.92,5.0,-51.41,0.7202
2,0.6,0.02,0.18,0.75,0.0,0.03,-0.15,5,False,False,0.5818,0.01,266.6515,617,1.67,3.92,5.0,-51.41,0.7202
2,0.6,0.02,0.18,0.75,0.05,0.03,-0.15,5,False,False,0.5818,0.01,266.6515,617,1.67,3.92,5.0,-51.41,0.7202
2,0.3,0.05,0.1,0.75,0.1,0.03,-0.15,5,False,False,0.5663,0.0108,10.9766,249,2.07,4.57,5.0,-28.09,0.7201
