min_consecutive_limit_up,min_entity_board_ratio,pullback_ratio_min,pullback_ratio_max,volume_shrink_ratio,volume_shrink_ratio_min,take_profit,stop_loss,hold_days,require_oversold,require_low_close,win_rate,avg_return,total_return,signal_count,profit_factor,sharpe,sortino,max_drawdown,score
3,0.6,0.03,0.32,0.8,0.1,0.06,-0.16,10,False,False,0.5808,0.0282,190.9747,198,3.62,8.96,5.0,-29.78,0.8414
3,0.6,0.03,0.32,0.8,0.0,0.06,-0.16,10,False,False,0.5808,0.0282,190.9747,198,3.62,8.96,5.0,-29.78,0.8414
3,0.6,0.03,0.32,0.8,0.05,0.06,-0.16,10,False,False,0.5808,0.0282,190.9747,198,3.62,8.96,5.0,-29.78,0.8414
3,0.4,0.03,0.32,0.8,0.05,0.06,-0.16,10,False,False,0.5854,0.0279,212.2381,205,3.32,8.65,5.0,-29.78,0.8407
3,0.4,0.03,0.32,0.8,0.0,0.06,-0.16,10,False,False,0.5854,0.0279,212.2381,205,3.32,8.65,5.0,-29.78,0.8407
3,0.4,0.03,0.32,0.8,0.1,0.06,-0.16,10,False,False,0.5854,0.0279,212.2381,205,3.32,8.65,5.0,-29.78,0.8407
3,0.6,0.03,0.42,0.8,0.05,0.06,-0.16,10,False,False,0.5779,0.0281,190.9747,199,3.67,8.93,5.0,-29.78,0.8394
3,0.6,0.03,0.42,0.8,0.1,0.06,-0.16,10,False,False,0.5779,0.0281,190.9747,199,3.67,8.93,5.0,-29.78,0.8394
3,0.6,0.03,0.42,0.8,0.0,0.06,-0.16,10,False,False,0.5779,0.0281,190.9747,199,3.67,8.93,5.0,-29.78,0.8394
3,0.4,0.03,0.42,0.8,0.1,0.06,-0.16,10,False,False,0.5825,0.0277,212.2381,206,3.36,8.63,5.0,-29.78,0.8388
3,0.4,0.03,0.42,0.8,0.0,0.06,-0.16,10,False,False,0.5825,0.0277,212.2381,206,3.36,8.63,5.0,-29.78,0.8388
3,0.4,0.03,0.42,0.8,0.05,0.06,-0.16,10,False,False,0.5825,0.0277,212.2381,206,3.36,8.63,5.0,-29.78,0.8388
3,0.4,0.07,0.32,0.8,0.0,0.06,-0.16,10,False,False,0.573,0.0274,114.5971,185,3.46,8.5,5.0,-29.78,0.8331
3,0.4,0.07,0.32,0.8,0.05,0.06,-0.16,10,False,False,0.573,0.0274,114.5971,185,3.46,8.5,5.0,-29.78,0.8331
3,0.4,0.07,0.32,0.8,0.1,0.06,-0.16,10,False,False,0.573,0.0274,114.5971,185,3.46,8.5,5.0,-29.78,0.8331
3,0.2,0.03,0.32,0.8,0.0,0.06,-0.16,10,False,False,0.5735,0.0274,224.6017,211,3.51,8.58,5.0,-29.78,0.8331
3,0.2,0.03,0.32,0.8,0.05,0.06,-0.16,10,False,False,0.5714,0.0272,212.2381,210,3.51,8.52,5.0,-29.78,0.8314
3,0.2,0.03,0.32,0.8,0.1,0.06,-0.16,10,False,False,0.5714,0.0272,212.2381,210,3.51,8.52,5.0,-29.78,0.8314
3,0.2,0.03,0.42,0.8,0.0,0.06,-0.16,10,False,False,0.5708,0.0272,224.6017,212,3.55,8.55,5.0,-29.78,0.8313
3,0.4,0.07,0.42,0.8,0.05,0.06,-0.16,10,False,False,0.5699,0.0272,114.5971,186,3.51,8.47,5.0,-29.78,0.831
3,0.4,0.07,0.42,0.8,0.1,0.06,-0.16,10,False,False,0.5699,0.0272,114.5971,186,3.51,8.47,5.0,-29.78,0.831
3,0.4,0.07,0.42,0.8,0.0,0.06,-0.16,10,False,False,0.5699,0.0272,114.5971,186,3.51,8.47,5.0,-29.78,0.831
3,0.6,0.03,0.22,0.8,0.0,0.06,-0.16,10,False,False,0.575,0.0268,54.3093,160,3.32,8.38,5.0,-29.78,0.8296
3,0.6,0.03,0.22,0.8,0.1,0.06,-0.16,10,False,False,0.575,0.0268,54.3093,160,3.32,8.38,5.0,-29.78,0.8296
3,0.6,0.03,0.22,0.8,0.05,0.06,-0.16,10,False,False,0.575,0.0268,54.3093,160,3.32,8.38,5.0,-29.78,0.8296
3,0.2,0.03,0.42,0.8,0.1,0.06,-0.16,10,False,False,0.5687,0.0271,212.2381,211,3.55,8.49,5.0,-29.78,0.8296
3,0.2,0.03,0.42,0.8,0.05,0.06,-0.16,10,False,False,0.5687,0.0271,212.2381,211,3.55,8.49,5.0,-29.78,0.8296
3,0.4,0.11,0.32,0.8,0.05,0.06,-0.16,10,False,False,0.5686,0.0268,45.1395,153,3.29,8.13,5.0,-29.78,0.8277
3,0.4,0.11,0.32,0.8,0.0,0.06,-0.16,10,False,False,0.5686,0.0268,45.1395,153,3.29,8.13,5.0,-29.78,0.8277
3,0.4,0.11,0.32,0.8,0.1,0.06,-0.16,10,False,False,0.5686,0.0268,45.1395,153,3.29,8.13,5.0,-29.78,0.8277
3,0.6,0.07,0.32,0.8,0.1,0.06,-0.16,10,False,False,0.5667,0.0269,91.265,180,3.43,8.26,5.0,-29.78,0.8274
3,0.6,0.07,0.32,0.8,0.0,0.06,-0.16,10,False,False,0.5667,0.0269,91.265,180,3.43,8.26,5.0,-29.78,0.8274
3,0.6,0.07,0.32,0.8,0.05,0.06,-0.16,10,False,False,0.5667,0.0269,91.265,180,3.43,8.26,5.0,-29.78,0.8274
3,0.6,0.07,0.42,0.8,0.0,0.06,-0.16,10,False,False,0.5635,0.0267,91.265,181,3.47,8.23,5.0,-29.78,0.8253
3,0.6,0.07,0.42,0.8,0.1,0.06,-0.16,10,False,False,0.5635,0.0267,91.265,181,3.47,8.23,5.0,-29.78,0.8253
3,0.6,0.07,0.42,0.8,0.05,0.06,-0.16,10,False,False,0.5635,0.0267,91.265,181,3.47,8.23,5.0,-29.78,0.8253
3,0.4,0.11,0.42,0.8,0.1,0.06,-0.16,10,False,False,0.5649,0.0266,45.1395,154,3.34,8.1,5.0,-29.78,0.8252
3,0.4,0.11,0.42,0.8,0.05,0.06,-0.16,10,False,False,0.5649,0.0266,45.1395,154,3.34,8.1,5.0,-29.78,0.8252
