min_consecutive_limit_up,min_entity_board_ratio,pullback_ratio_min,pullback_ratio_max,volume_shrink_ratio,volume_shrink_ratio_min,take_profit,stop_loss,hold_days,require_oversold,require_low_close,win_rate,avg_return,total_return,signal_count,profit_factor,sharpe,sortino,max_drawdown,score
3,0.4,0.12,0.36,0.65,0.05,0.04,-0.13,9,False,False,0.6667,0.0209,31.2213,174,2.38,8.92,5.0,-34.61,0.8226
3,0.4,0.12,0.36,0.65,0.0,0.04,-0.13,9,False,False,0.6667,0.0209,31.2213,174,2.38,8.92,5.0,-34.61,0.8226
3,0.4,0.03,0.36,0.65,0.0,0.04,-0.13,9,False,False,0.6802,0.0201,68.4388,222,1.88,8.05,5.0,-34.61,0.8222
3,0.4,0.03,0.36,0.65,0.05,0.04,-0.13,9,False,False,0.6802,0.0201,68.4388,222,1.88,8.05,5.0,-34.61,0.8222
3,0.6,0.12,0.36,0.65,0.0,0.04,-0.13,9,False,False,0.6667,0.0208,28.9065,171,2.34,8.83,5.0,-34.61,0.822
3,0.6,0.12,0.36,0.65,0.05,0.04,-0.13,9,False,False,0.6667,0.0208,28.9065,171,2.34,8.83,5.0,-34.61,0.822
3,0.6,0.03,0.36,0.65,0.05,0.04,-0.13,9,False,False,0.6804,0.02,63.4502,219,1.85,7.98,5.0,-34.61,0.8218
3,0.6,0.03,0.36,0.65,0.0,0.04,-0.13,9,False,False,0.6804,0.02,63.4502,219,1.85,7.98,5.0,-34.61,0.8218
3,0.2,0.03,0.36,0.65,0.0,0.04,-0.13,9,False,False,0.6753,0.0202,83.7048,231,1.98,8.2,5.0,-34.61,0.8211
3,0.2,0.03,0.36,0.65,0.05,0.04,-0.13,9,False,False,0.6739,0.0201,80.6055,230,1.98,8.16,5.0,-34.61,0.8201
3,0.2,0.12,0.36,0.65,0.0,0.04,-0.13,9,False,False,0.661,0.0207,32.4451,177,2.46,8.92,5.0,-34.61,0.8197
3,0.2,0.12,0.36,0.65,0.05,0.04,-0.13,9,False,False,0.661,0.0207,32.4451,177,2.46,8.92,5.0,-34.61,0.8197
3,0.4,0.03,0.24,0.65,0.0,0.04,-0.13,9,False,False,0.6898,0.0192,28.5163,187,1.53,7.21,5.0,-34.61,0.8195
3,0.4,0.03,0.24,0.65,0.05,0.04,-0.13,9,False,False,0.6898,0.0192,28.5163,187,1.53,7.21,5.0,-34.61,0.8195
3,0.4,0.03,0.3,0.65,0.05,0.04,-0.13,9,False,False,0.6776,0.0198,54.5224,214,1.83,7.81,5.0,-34.61,0.8192
3,0.4,0.03,0.3,0.65,0.0,0.04,-0.13,9,False,False,0.6776,0.0198,54.5224,214,1.83,7.81,5.0,-34.61,0.8192
3,0.4,0.12,0.3,0.65,0.05,0.04,-0.13,9,False,False,0.6627,0.0205,24.7638,166,2.3,8.61,5.0,-34.61,0.8187
3,0.6,0.03,0.3,0.65,0.05,0.04,-0.13,9,False,False,0.6777,0.0197,50.5336,211,1.8,7.73,5.0,-34.61,0.8187
3,0.4,0.12,0.3,0.65,0.0,0.04,-0.13,9,False,False,0.6627,0.0205,24.7638,166,2.3,8.61,5.0,-34.61,0.8187
3,0.6,0.03,0.3,0.65,0.0,0.04,-0.13,9,False,False,0.6777,0.0197,50.5336,211,1.8,7.73,5.0,-34.61,0.8187
3,0.2,0.03,0.24,0.65,0.0,0.04,-0.13,9,False,False,0.6837,0.0194,35.0054,196,1.64,7.4,5.0,-34.61,0.8184
3,0.2,0.03,0.3,0.65,0.0,0.04,-0.13,9,False,False,0.6726,0.0199,66.7289,223,1.93,7.97,5.0,-34.61,0.8182
3,0.6,0.12,0.3,0.65,0.0,0.04,-0.13,9,False,False,0.6626,0.0204,22.9129,163,2.27,8.51,5.0,-34.61,0.8181
3,0.6,0.12,0.3,0.65,0.05,0.04,-0.13,9,False,False,0.6626,0.0204,22.9129,163,2.27,8.51,5.0,-34.61,0.8181
3,0.2,0.03,0.24,0.65,0.05,0.04,-0.13,9,False,False,0.6821,0.0193,33.6879,195,1.64,7.35,5.0,-34.61,0.8172
3,0.2,0.03,0.3,0.65,0.05,0.04,-0.13,9,False,False,0.6712,0.0198,64.2507,222,1.93,7.92,5.0,-34.61,0.8171
3,0.6,0.03,0.24,0.65,0.05,0.04,-0.13,9,False,False,0.6865,0.019,26.3958,185,1.53,7.1,5.0,-34.61,0.817
3,0.6,0.03,0.24,0.65,0.0,0.04,-0.13,9,False,False,0.6865,0.019,26.3958,185,1.53,7.1,5.0,-34.61,0.817
3,0.2,0.12,0.3,0.65,0.0,0.04,-0.13,9,False,False,0.6568,0.0204,25.7423,169,2.39,8.61,5.0,-34.61,0.8157
3,0.2,0.12,0.3,0.65,0.05,0.04,-0.13,9,False,False,0.6568,0.0204,25.7423,169,2.39,8.61,5.0,-34.61,0.8157
3,0.4,0.06,0.36,0.65,0.0,0.04,-0.13,9,False,False,0.6714,0.0195,46.8313,210,1.83,7.61,5.0,-34.61,0.8147
3,0.4,0.06,0.36,0.65,0.05,0.04,-0.13,9,False,False,0.6714,0.0195,46.8313,210,1.83,7.61,5.0,-34.61,0.8147
3,0.6,0.06,0.36,0.65,0.0,0.04,-0.13,9,False,False,0.6715,0.0194,43.395,207,1.8,7.54,5.0,-34.61,0.8142
3,0.6,0.06,0.36,0.65,0.05,0.04,-0.13,9,False,False,0.6715,0.0194,43.395,207,1.8,7.54,5.0,-34.61,0.8142
