pullback_ratio_min,pullback_ratio_max,volume_shrink_ratio,take_profit,stop_loss,hold_days,min_entity_board_ratio,min_consecutive_limit_up,require_oversold,require_low_close,volume_shrink_ratio_min,win_rate,avg_return,total_return,signal_count,profit_factor,sharpe,sortino,max_drawdown,score
0.09,0.111,0.431,0.057,-0.088,8,0.55,2,False,False,0.1,0.5882,0.033,1.873,34,3.6,9.53,5.0,-12.71,0.7785
0.09,0.111,0.431,0.057,-0.088,10,0.65,2,False,False,0.1,0.5882,0.033,1.873,34,3.6,9.53,5.0,-12.71,0.7785
0.09,0.111,0.431,0.057,-0.088,11,0.55,2,False,False,0.1,0.5882,0.033,1.873,34,3.6,9.53,5.0,-12.71,0.7785
0.09,0.111,0.431,0.057,-0.088,10,0.55,2,False,False,0.1,0.5882,0.033,1.873,34,3.6,9.53,5.0,-12.71,0.7785
0.09,0.111,0.431,0.057,-0.088,10,0.6,2,False,False,0.1,0.5882,0.033,1.873,34,3.6,9.53,5.0,-12.71,0.7785
0.09,0.111,0.431,0.057,-0.088,8,0.6,2,False,False,0.1,0.5882,0.033,1.873,34,3.6,9.53,5.0,-12.71,0.7785
0.09,0.111,0.431,0.057,-0.088,8,0.65,2,False,False,0.1,0.5882,0.033,1.873,34,3.6,9.53,5.0,-12.71,0.7785
0.09,0.111,0.431,0.057,-0.088,8,0.7,2,False,False,0.1,0.5882,0.033,1.873,34,3.6,9.53,5.0,-12.71,0.7785
0.09,0.111,0.431,0.057,-0.088,11,0.65,2,False,False,0.1,0.5882,0.033,1.873,34,3.6,9.53,5.0,-12.71,0.7785
0.09,0.111,0.431,0.057,-0.088,9,0.55,2,False,False,0.1,0.5882,0.033,1.873,34,3.6,9.53,5.0,-12.71,0.7785
0.09,0.111,0.431,0.057,-0.088,11,0.7,2,False,False,0.1,0.5882,0.033,1.873,34,3.6,9.53,5.0,-12.71,0.7785
0.09,0.111,0.431,0.057,-0.088,9,0.6,2,False,False,0.1,0.5882,0.033,1.873,34,3.6,9.53,5.0,-12.71,0.7785
0.09,0.111,0.431,0.057,-0.088,9,0.65,2,False,False,0.1,0.5882,0.033,1.873,34,3.6,9.53,5.0,-12.71,0.7785
0.09,0.111,0.431,0.057,-0.088,10,0.7,2,False,False,0.1,0.5882,0.033,1.873,34,3.6,9.53,5.0,-12.71,0.7785
