pullback_ratio_min,pullback_ratio_max,volume_shrink_ratio,take_profit,stop_loss,hold_days,min_entity_board_ratio,min_consecutive_limit_up,require_oversold,require_low_close,volume_shrink_ratio_min,win_rate,avg_return,total_return,signal_count,profit_factor,sharpe,sortino,max_drawdown,score
0.018,0.104,0.56,0.047,-0.173,12,0.45,3,False,False,0.05,0.9245,0.0329,716.6266,212,4.34,3.83,5.0,-36.01,0.9736
0.018,0.104,0.56,0.047,-0.168,12,0.4,3,False,False,0.05,0.9245,0.0328,713.798,212,4.33,3.83,5.0,-35.23,0.9736
0.018,0.104,0.56,0.047,-0.178,12,0.4,3,False,False,0.05,0.9245,0.0326,672.4874,212,4.24,3.79,5.0,-37.09,0.9736
0.018,0.104,0.56,0.047,-0.178,12,0.35,3,False,False,0.05,0.9245,0.0326,672.4874,212,4.24,3.79,5.0,-37.09,0.9736
0.018,0.104,0.56,0.047,-0.152,12,0.4,3,False,False,0.05,0.9245,0.0327,692.3065,212,4.26,3.81,5.0,-32.71,0.9736
0.018,0.104,0.56,0.047,-0.152,12,0.45,3,False,False,0.05,0.9245,0.0327,692.3065,212,4.26,3.81,5.0,-32.71,0.9736
0.018,0.104,0.56,0.047,-0.147,12,0.35,3,False,False,0.05,0.9245,0.0329,730.0693,212,4.36,3.84,5.0,-31.91,0.9736
0.018,0.104,0.56,0.047,-0.168,12,0.45,3,False,False,0.05,0.9245,0.0328,713.798,212,4.33,3.83,5.0,-35.23,0.9736
0.018,0.104,0.56,0.047,-0.163,12,0.35,3,False,False,0.05,0.9245,0.033,744.4911,212,4.41,3.85,5.0,-34.45,0.9736
0.018,0.104,0.56,0.047,-0.163,12,0.4,3,False,False,0.05,0.9245,0.033,744.4911,212,4.41,3.85,5.0,-34.45,0.9736
0.018,0.104,0.56,0.047,-0.152,12,0.35,3,False,False,0.05,0.9245,0.0327,692.3065,212,4.26,3.81,5.0,-32.71,0.9736
