pullback_ratio_min,pullback_ratio_max,volume_shrink_ratio,take_profit,stop_loss,hold_days,min_entity_board_ratio,min_consecutive_limit_up,require_oversold,require_low_close,volume_shrink_ratio_min,win_rate,avg_return,total_return,signal_count,profit_factor,sharpe,sortino,max_drawdown,score
0.02,0.27,0.36,0.054,-0.09,12,0.15,3,False,False,0.1,0.7209,0.0209,11.2341,129,2.4,4.62,4.86,-20.28,0.8251
0.02,0.27,0.36,0.054,-0.09,12,0.1,3,False,False,0.1,0.7209,0.0209,11.2341,129,2.4,4.62,4.86,-20.28,0.8251
0.02,0.27,0.36,0.054,-0.09,12,0.25,3,False,False,0.1,0.7209,0.0209,11.2341,129,2.4,4.62,4.86,-20.28,0.8251
0.02,0.27,0.36,0.054,-0.09,12,0.2,3,False,False,0.1,0.7209,0.0209,11.2341,129,2.4,4.62,4.86,-20.28,0.8251
0.02,0.27,0.36,0.054,-0.08,11,0.25,3,False,False,0.1,0.7209,0.0207,10.9809,129,2.47,4.71,4.89,-18.11,0.8241
0.02,0.27,0.36,0.054,-0.08,11,0.2,3,False,False,0.1,0.7209,0.0207,10.9809,129,2.47,4.71,4.89,-18.11,0.8241
0.02,0.27,0.36,0.054,-0.08,11,0.15,3,False,False,0.1,0.7209,0.0207,10.9809,129,2.47,4.71,4.89,-18.11,0.8241
0.02,0.27,0.36,0.054,-0.08,11,0.1,3,False,False,0.1,0.7209,0.0207,10.9809,129,2.47,4.71,4.89,-18.11,0.8241
0.02,0.27,0.36,0.054,-0.08,12,0.25,3,False,False,0.1,0.7132,0.0206,10.797,129,2.37,4.66,5.0,-17.88,0.823
0.02,0.27,0.36,0.054,-0.08,12,0.1,3,False,False,0.1,0.7132,0.0206,10.797,129,2.37,4.66,5.0,-17.88,0.823
0.02,0.27,0.36,0.054,-0.08,12,0.2,3,False,False,0.1,0.7132,0.0206,10.797,129,2.37,4.66,5.0,-17.88,0.823
0.02,0.27,0.36,0.054,-0.08,12,0.15,3,False,False,0.1,0.7132,0.0206,10.797,129,2.37,4.66,5.0,-17.88,0.823
0.02,0.27,0.36,0.054,-0.095,12,0.25,3,False,False,0.1,0.7209,0.0206,10.6953,129,2.35,4.53,4.82,-21.16,0.8222
0.02,0.27,0.36,0.054,-0.095,12,0.2,3,False,False,0.1,0.7209,0.0206,10.6953,129,2.35,4.53,4.82,-21.16,0.8222
0.02,0.27,0.36,0.054,-0.095,12,0.15,3,False,False,0.1,0.7209,0.0206,10.6953,129,2.35,4.53,4.82,-21.16,0.8222
0.02,0.27,0.36,0.054,-0.095,12,0.1,3,False,False,0.1,0.7209,0.0206,10.6953,129,2.35,4.53,4.82,-21.16,0.8222
0.02,0.27,0.36,0.054,-0.085,12,0.25,3,False,False,0.1,0.7132,0.0205,10.5543,129,2.35,4.59,5.0,-17.73,0.8221
0.02,0.27,0.36,0.054,-0.085,12,0.1,3,False,False,0.1,0.7132,0.0205,10.5543,129,2.35,4.59,5.0,-17.73,0.8221
0.02,0.27,0.36,0.054,-0.085,12,0.2,3,False,False,0.1,0.7132,0.0205,10.5543,129,2.35,4.59,5.0,-17.73,0.8221
0.02,0.27,0.36,0.054,-0.085,12,0.15,3,False,False,0.1,0.7132,0.0205,10.5543,129,2.35,4.59,5.0,-17.73,0.8221
0.02,0.27,0.36,0.054,-0.1,12,0.2,3,False,False,0.1,0.7209,0.0206,10.7097,129,2.35,4.52,4.7,-19.68,0.8199
0.02,0.27,0.36,0.054,-0.1,12,0.15,3,False,False,0.1,0.7209,0.0206,10.7097,129,2.35,4.52,4.7,-19.68,0.8199
0.02,0.27,0.36,0.054,-0.1,12,0.1,3,False,False,0.1,0.7209,0.0206,10.7097,129,2.35,4.52,4.7,-19.68,0.8199
0.02,0.27,0.36,0.054,-0.1,12,0.25,3,False,False,0.1,0.7209,0.0206,10.7097,129,2.35,4.52,4.7,-19.68,0.8199
0.02,0.27,0.36,0.054,-0.07,12,0.25,3,False,False,0.1,0.7132,0.0201,10.0513,129,2.29,4.63,5.0,-20.09,0.8196
0.02,0.27,0.36,0.054,-0.07,12,0.2,3,False,False,0.1,0.7132,0.0201,10.0513,129,2.29,4.63,5.0,-20.09,0.8196
0.02,0.27,0.36,0.054,-0.07,12,0.15,3,False,False,0.1,0.7132,0.0201,10.0513,129,2.29,4.63,5.0,-20.09,0.8196
0.02,0.27,0.36,0.054,-0.07,12,0.1,3,False,False,0.1,0.7132,0.0201,10.0513,129,2.29,4.63,5.0,-20.09,0.8196
0.02,0.27,0.36,0.054,-0.07,11,0.25,3,False,False,0.1,0.7132,0.0201,10.0942,129,2.37,4.65,5.0,-20.09,0.8195
0.02,0.27,0.36,0.054,-0.07,11,0.2,3,False,False,0.1,0.7132,0.0201,10.0942,129,2.37,4.65,5.0,-20.09,0.8195
0.02,0.27,0.36,0.054,-0.07,11,0.1,3,False,False,0.1,0.7132,0.0201,10.0942,129,2.37,4.65,5.0,-20.09,0.8195
0.02,0.27,0.36,0.054,-0.07,11,0.15,3,False,False,0.1,0.7132,0.0201,10.0942,129,2.37,4.65,5.0,-20.09,0.8195
0.02,0.27,0.36,0.054,-0.085,11,0.2,3,False,False,0.1,0.7209,0.0206,10.8413,129,2.46,4.67,4.66,-18.56,0.819
0.02,0.27,0.36,0.054,-0.085,11,0.25,3,False,False,0.1,0.7209,0.0206,10.8413,129,2.46,4.67,4.66,-18.56,0.819
0.02,0.27,0.36,0.054,-0.085,11,0.15,3,False,False,0.1,0.7209,0.0206,10.8413,129,2.46,4.67,4.66,-18.56,0.819
0.02,0.27,0.36,0.054,-0.085,11,0.1,3,False,False,0.1,0.7209,0.0206,10.8413,129,2.46,4.67,4.66,-18.56,0.819
0.02,0.27,0.36,0.054,-0.09,11,0.15,3,False,False,0.1,0.7287,0.0209,11.2823,129,2.5,4.66,4.42,-19.0,0.8189
0.02,0.27,0.36,0.054,-0.09,11,0.1,3,False,False,0.1,0.7287,0.0209,11.2823,129,2.5,4.66,4.42,-19.0,0.8189
0.02,0.27,0.36,0.054,-0.09,11,0.25,3,False,False,0.1,0.7287,0.0209,11.2823,129,2.5,4.66,4.42,-19.0,0.8189
0.02,0.27,0.36,0.054,-0.09,11,0.2,3,False,False,0.1,0.7287,0.0209,11.2823,129,2.5,4.66,4.42,-19.0,0.8189
0.01,0.27,0.39,0.054,-0.08,12,0.2,3,False,False,0.1,0.7,0.0185,14.1531,160,2.13,4.79,5.0,-27.17,0.8183
0.01,0.27,0.39,0.054,-0.08,12,0.15,3,False,False,0.1,0.7,0.0185,14.1531,160,2.13,4.79,5.0,-27.17,0.8183
0.01,0.27,0.39,0.054,-0.08,12,0.25,3,False,False,0.1,0.7,0.0185,14.1531,160,2.13,4.79,5.0,-27.17,0.8183
0.01,0.27,0.39,0.054,-0.08,12,0.1,3,False,False,0.1,0.7,0.0185,14.1531,160,2.13,4.79,5.0,-27.17,0.8183
0.01,0.34,0.36,0.054,-0.11,12,0.25,3,False,False,0.1,0.7047,0.0182,10.8441,149,2.11,4.6,5.0,-21.53,0.8171
0.01,0.33,0.36,0.054,-0.11,12,0.25,3,False,False,0.1,0.7047,0.0182,10.8441,149,2.11,4.6,5.0,-21.53,0.8171
