pullback_ratio_min,pullback_ratio_max,volume_shrink_ratio,take_profit,stop_loss,hold_days,min_entity_board_ratio,min_consecutive_limit_up,require_oversold,require_low_close,volume_shrink_ratio_min,win_rate,avg_return,total_return,signal_count,profit_factor,sharpe,sortino,max_drawdown,score
0.01,0.11,0.55,0.096,-0.092,3,0.35,3,False,False,0.05,0.6346,0.0268,2.4632,52,2.28,2.01,1.58,-25.84,0.6342
0.01,0.11,0.55,0.096,-0.092,3,0.3,3,False,False,0.05,0.6346,0.0268,2.4632,52,2.28,2.01,1.58,-25.84,0.6342
0.01,0.11,0.55,0.096,-0.092,3,0.25,3,False,False,0.05,0.6346,0.0268,2.4632,52,2.28,2.01,1.58,-25.84,0.6342
0.01,0.11,0.55,0.096,-0.092,3,0.2,3,False,False,0.05,0.6346,0.0268,2.4632,52,2.28,2.01,1.58,-25.84,0.6342
0.01,0.11,0.55,0.096,-0.092,3,0.15,3,False,False,0.05,0.6346,0.0268,2.4632,52,2.28,2.01,1.58,-25.84,0.6342
0.01,0.11,0.55,0.096,-0.097,3,0.35,3,False,False,0.05,0.6346,0.0262,2.3595,52,2.22,1.95,1.46,-26.65,0.6233
0.01,0.11,0.55,0.096,-0.097,3,0.15,3,False,False,0.05,0.6346,0.0262,2.3595,52,2.22,1.95,1.46,-26.65,0.6233
0.01,0.11,0.55,0.096,-0.097,3,0.3,3,False,False,0.05,0.6346,0.0262,2.3595,52,2.22,1.95,1.46,-26.65,0.6233
0.01,0.11,0.55,0.096,-0.097,3,0.25,3,False,False,0.05,0.6346,0.0262,2.3595,52,2.22,1.95,1.46,-26.65,0.6233
0.01,0.11,0.55,0.096,-0.097,3,0.2,3,False,False,0.05,0.6346,0.0262,2.3595,52,2.22,1.95,1.46,-26.65,0.6233
0.01,0.11,0.59,0.096,-0.092,2,0.3,3,False,False,0.05,0.6087,0.0227,3.1139,69,2.36,2.03,1.82,-26.75,0.6161
0.01,0.11,0.59,0.096,-0.092,2,0.25,3,False,False,0.05,0.6087,0.0227,3.1139,69,2.36,2.03,1.82,-26.75,0.6161
0.01,0.11,0.59,0.096,-0.092,2,0.2,3,False,False,0.05,0.6087,0.0227,3.1139,69,2.36,2.03,1.82,-26.75,0.6161
0.01,0.11,0.59,0.096,-0.092,2,0.15,3,False,False,0.05,0.6087,0.0227,3.1139,69,2.36,2.03,1.82,-26.75,0.6161
0.01,0.11,0.59,0.096,-0.092,2,0.35,3,False,False,0.05,0.6087,0.0227,3.1139,69,2.36,2.03,1.82,-26.75,0.6161
0.01,0.11,0.55,0.091,-0.092,3,0.15,3,False,False,0.05,0.6346,0.0249,2.16,52,2.19,1.92,1.47,-25.84,0.6121
0.01,0.11,0.55,0.091,-0.092,3,0.35,3,False,False,0.05,0.6346,0.0249,2.16,52,2.19,1.92,1.47,-25.84,0.6121
0.01,0.11,0.55,0.091,-0.092,3,0.3,3,False,False,0.05,0.6346,0.0249,2.16,52,2.19,1.92,1.47,-25.84,0.6121
