trigger_date,stock_code,trigger_price,highest_price,pullback_ratio,limit_series_len,return,hold_days_actual,exit_reason
20250312,300817.SZ,24.611011505126953,27.387283325195312,0.10137083649747361,2,-0.10202,2,止损
20250122,000533.SZ,6.599999904632568,7.340000152587891,0.10081747037762903,2,0.04798,1,止盈
20250122,000533.SZ,6.599999904632568,8.199999809265137,0.19512194412794215,2,0.04798,1,止盈
20260130,002707.SZ,8.119999885559082,9.09000015258789,0.10671069865193049,2,-0.008177659044279785,7,到期
20251105,600871.SS,2.319999933242798,2.5299999713897705,0.08300396858566611,2,0.04798,5,止盈
20250725,600148.SS,21.959999084472656,25.040000915527344,0.12300326351604778,2,0.03076694220038547,7,到期
20250512,600615.SS,10.850000381469728,11.966666221618652,0.09331469763329624,2,0.04798,4,止盈
20250630,002615.SZ,8.40999984741211,10.25,0.1795122100085747,3,0.04798,4,止盈
20260105,002044.SZ,5.460000038146973,6.019999980926514,0.09302324660362436,2,0.04798,3,止盈
20250708,002828.SZ,10.739999771118164,13.3649320602417,0.1964044618627163,4,-0.05323044715605261,7,到期
20250820,000417.SZ,6.159999847412109,6.909999847412109,0.10853835261384057,2,-0.0003965861802680331,7,到期
20250327,600936.SS,3.6700000762939458,4.150000095367432,0.11566265254049055,2,-0.10202,6,止损
20260309,002723.SZ,10.020000457763672,11.619999885559082,0.1376935837825465,2,0.04798,5,止盈
20251013,603297.SS,117.4499969482422,130.9199981689453,0.10288727015807615,3,-0.10202,2,止损
20250821,600828.SS,4.21999979019165,5.130000114440918,0.17738797347930313,2,-0.01860760623327893,7,到期
20260130,600828.SS,6.579999923706055,7.690000057220459,0.1443433192789354,2,0.04798,1,止盈
20250507,000505.SZ,6.601890563964844,7.918279647827148,0.16624685441913312,2,-0.04129492970832858,7,到期
20260116,002652.SZ,4.03000020980835,4.860000133514404,0.17078187261403593,3,0.04798,5,止盈
20250415,603285.SS,21.615331649780273,28.91298484802246,0.25240054724897487,2,-0.0029373486998946824,7,到期
20250926,603285.SS,27.399999618530273,31.450000762939453,0.128775867922448,3,0.04798,1,止盈
20260224,603132.SS,17.273508071899414,21.917987823486328,0.21190265224119245,3,0.06491360436644014,4,止盈
20260203,688323.SS,27.3799991607666,31.09000015258789,0.11933100590584826,2,-0.10202,3,止损
20250812,000813.SZ,4.420000076293945,4.849999904632568,0.08865976016368592,2,-0.08573037990327756,7,到期
20251110,001231.SZ,23.8700008392334,28.510000228881836,0.16274988959656064,3,-0.036791675514223,7,到期
20260123,001231.SZ,24.719999313354492,30.170000076293945,0.18064304770160697,3,-0.0008063799563578838,7,到期
20250905,603098.SS,14.25,16.200000762939453,0.12037041179655043,2,0.04798,1,止盈
20250717,600990.SS,27.440000534057617,30.84000015258789,0.1102464202888458,2,0.018023703584404326,7,到期
20250211,603511.SS,14.210000038146973,17.81842613220215,0.2025109326313556,5,0.041101112275519956,7,到期
20260413,600982.SS,5.789999961853027,6.900000095367432,0.16086958234386745,2,0.04798,1,止盈
20250211,002543.SZ,11.145474433898926,12.848119735717772,0.132520970915728,3,-0.007287788819887431,7,到期
20250912,002212.SZ,10.260000228881836,12.380000114440918,0.1712439310146825,2,-0.04490504134912363,7,到期
20250728,002520.SZ,6.800000190734863,7.409999847412109,0.08232114294716,2,0.01562704149899643,7,到期
20250808,605122.SS,14.350000381469728,17.020000457763672,0.15687426583329045,2,-0.015260454983051265,7,到期
