trigger_date,stock_code,trigger_price,highest_price,pullback_ratio,limit_series_len,return,hold_days_actual,exit_reason,return_bin
20250312,300817.SZ,24.611011505126953,27.387283325195312,0.10137083649747361,2,-0.1,2,止损,<=-7%
20250122,000533.SZ,6.599999904632568,8.199999809265137,0.19512194412794215,2,0.05,1,止盈,+3%~+5%
20251105,600871.SS,2.319999933242798,2.5299999713897705,0.08300396858566611,2,0.05,5,止盈,+3%~+5%
20250725,600148.SS,21.959999084472656,25.040000915527344,0.12300326351604778,2,0.03278694220038547,7,到期,+3%~+5%
20250512,600615.SS,10.850000381469728,11.966666221618652,0.09331469763329624,2,0.05,4,止盈,+3%~+5%
20250630,002615.SZ,8.40999984741211,10.25,0.1795122100085747,3,0.05,4,止盈,+3%~+5%
20260105,002044.SZ,5.460000038146973,6.019999980926514,0.09302324660362436,2,0.05,3,止盈,+3%~+5%
20250708,002828.SZ,10.739999771118164,13.3649320602417,0.1964044618627163,4,-0.05121044715605261,7,到期,-7%~-3%
20250327,600936.SS,3.6700000762939458,4.150000095367432,0.11566265254049055,2,-0.1,6,止损,<=-7%
20260309,002723.SZ,10.020000457763672,11.619999885559082,0.1376935837825465,2,0.05,5,止盈,+3%~+5%
20250821,600828.SS,4.21999979019165,5.130000114440918,0.17738797347930313,2,-0.01658760623327893,7,到期,-3%~0%
20250507,000505.SZ,6.601890563964844,7.918279647827148,0.16624685441913312,2,-0.039274929708328576,7,到期,-7%~-3%
20250812,000813.SZ,4.420000076293945,4.849999904632568,0.08865976016368592,2,-0.08371037990327757,7,到期,<=-7%
20251110,001231.SZ,23.8700008392334,28.510000228881836,0.16274988959656064,3,-0.034771675514223,7,到期,-7%~-3%
20260123,001231.SZ,24.719999313354492,30.170000076293945,0.18064304770160697,3,0.0012136200436421163,7,到期,0~+3%
20250905,603098.SS,14.25,16.200000762939453,0.12037041179655043,2,0.05,1,止盈,+3%~+5%
20260413,600982.SS,5.789999961853027,6.900000095367432,0.16086958234386745,2,0.05,1,止盈,+3%~+5%
20250211,002543.SZ,11.145474433898926,12.848119735717772,0.132520970915728,3,-0.005267788819887431,7,到期,-3%~0%
20250912,002212.SZ,10.260000228881836,12.380000114440918,0.1712439310146825,2,-0.04288504134912363,7,到期,-7%~-3%
20250728,002520.SZ,6.800000190734863,7.409999847412109,0.08232114294716,2,0.01764704149899643,7,到期,0~+3%
20250808,605122.SS,14.350000381469728,17.020000457763672,0.15687426583329045,2,-0.013240454983051264,7,到期,-3%~0%
20250306,603315.SS,13.258586883544922,14.739493370056152,0.10047200737033125,2,0.05,7,止盈,+3%~+5%
20260224,000630.SZ,7.510000228881836,9.1899995803833,0.18280733712845226,2,0.05,3,止盈,+3%~+5%
20250820,600579.SS,9.15999984741211,11.130000114440918,0.1769991236992692,3,-0.02292576873855534,7,到期,-3%~0%
20250926,002181.SZ,8.149999618530273,9.579999923706056,0.1492693441089906,2,0.011042964024594815,7,到期,0~+3%
20250624,605006.SS,6.739999771118164,7.380000114440918,0.08672091238459798,2,0.05,5,止盈,+3%~+5%
20250425,603221.SS,10.636577606201172,13.726202964782717,0.2250895871573944,4,0.0,7,到期,-3%~0%
20250630,301110.SZ,55.9900016784668,72.41999816894531,0.22687098737768158,2,-0.044115041019065826,7,到期,-7%~-3%
20250326,001333.SZ,21.161182403564453,24.94347381591797,0.1516345093015794,2,0.11327755942239781,2,止盈,>+7%
20250630,605151.SS,19.326515197753903,21.16950798034668,0.08705883879321957,2,0.10000000000000031,1,止盈,>+7%
20250820,002799.SZ,8.670000076293945,10.15999984741211,0.1466535229818618,2,0.05,4,止盈,+3%~+5%
20250212,605179.SS,19.82175636291504,23.78411293029785,0.16659677739485032,2,0.05,1,止盈,+3%~+5%
20251224,603278.SS,10.579999923706056,11.760000228881836,0.10034016005184859,2,0.05,1,止盈,+3%~+5%
20250509,600249.SS,5.550937652587891,7.321666717529297,0.24184781051314233,4,0.05,4,止盈,+3%~+5%
20250513,603205.SS,30.112964630126953,33.35296630859375,0.0971428342681465,2,0.05,2,止盈,+3%~+5%
20251009,002183.SZ,5.460000038146973,6.039999961853027,0.096026478041254,2,-0.1,6,止损,<=-7%
20250306,000856.SZ,13.5,16.860000610351562,0.19928828521445113,4,-0.1,3,止损,<=-7%
20250306,603209.SS,15.9381742477417,17.604976654052734,0.09467791063087441,2,0.0018564673017684719,7,到期,0~+3%
20250805,601512.SS,8.0,9.079999923706056,0.11894272387452268,2,-0.02499997615814209,7,到期,-3%~0%
20251208,600280.SS,3.690000057220459,4.309999942779541,0.14385148347803478,2,0.05,1,止盈,+3%~+5%
20251112,002678.SZ,5.110000133514404,6.809999942779541,0.24963286689416211,3,-0.023483436254572054,7,到期,-3%~0%
20250527,002973.SZ,12.140007019042969,13.241839408874512,0.0832084090291194,2,0.05,1,止盈,+3%~+5%
20250206,603118.SS,10.140000343322754,11.630000114440918,0.128116918010004,2,0.05,2,止盈,+3%~+5%
20260113,001299.SZ,9.86373519897461,10.84421157836914,0.09041472238980282,2,0.0044843426528560215,7,到期,0~+3%
20251111,000852.SZ,7.260000228881836,9.34000015258789,0.22269806099839692,4,0.05,3,止盈,+3%~+5%
20250912,600410.SS,20.530000686645508,25.579999923706055,0.19741983002824412,2,0.05698977287687157,3,止盈,+5%~+7%
20251208,600410.SS,18.780000686645508,21.36000061035156,0.12078650983070302,2,-0.1,6,止损,<=-7%
20250908,605028.SS,22.899723052978516,28.636768341064453,0.20033843273646032,4,0.05,2,止盈,+3%~+5%
20250423,603578.SS,14.050000190734863,15.850000381469728,0.11356467807024467,2,0.05,6,止盈,+3%~+5%
20251016,600996.SS,9.6899995803833,10.880000114440918,0.10937504793572025,3,0.008256024854978117,7,到期,0~+3%
20260416,600996.SS,9.4399995803833,11.020000457763672,0.14337575424211974,2,-0.1,4,止损,<=-7%
20250908,603192.SS,23.8799991607666,27.450000762939453,0.13005469956098326,2,-0.047738669585943194,7,到期,-7%~-3%
20251022,000020.SZ,14.5600004196167,16.899999618530273,0.13846149418535164,2,0.05,1,止盈,+3%~+5%
20260120,002691.SZ,8.9399995803833,9.850000381469728,0.09238586455269207,2,-0.04250550096226169,7,到期,-7%~-3%
20251110,600984.SS,3.990000009536743,4.599999904632568,0.13260867559616826,2,0.05,2,止盈,+3%~+5%
20251224,002830.SZ,19.770000457763672,22.65999984741211,0.12753748495627154,2,0.05,1,止盈,+3%~+5%
20251201,600737.SS,17.739999771118164,19.3799991607666,0.0846232951840626,2,-0.019729446786101335,7,到期,-3%~0%
20260317,002629.SZ,6.96999979019165,8.109999656677246,0.14056719047416902,2,-0.1,3,止损,<=-7%
20250624,002969.SZ,3.539302349090576,4.046337604522705,0.1253072049315414,2,-0.011235972464636035,7,到期,-3%~0%
20250929,605303.SS,17.049999237060547,18.790000915527344,0.09260253292637817,2,0.05,3,止盈,+3%~+5%
20251023,002150.SZ,18.709999084472656,20.81999969482422,0.10134489151198699,2,0.1202565531853641,5,止盈,>+7%
20260409,002150.SZ,32.779998779296875,38.369998931884766,0.1456867424602064,2,0.05,1,止盈,+3%~+5%
20250401,603958.SS,17.809999465942383,20.489999771118164,0.13079552635980973,2,0.05,1,止盈,+3%~+5%
20260123,301333.SZ,73.5999984741211,91.77999877929688,0.19808237684654126,2,0.05,5,止盈,+3%~+5%
20250617,000539.SZ,4.769174098968506,5.247087001800537,0.09108156633729067,2,-0.04595636554367899,7,到期,-7%~-3%
20251023,002670.SZ,21.709999084472656,24.34000015258789,0.10805263153770384,2,0.05,1,止盈,+3%~+5%
20250627,600735.SS,8.6899995803833,10.1899995803833,0.14720314639537765,2,-0.12428072485836184,6,止损,<=-7%
20250512,603128.SS,6.264363765716553,7.74290943145752,0.19095479274676821,3,0.05279507754686885,1,止盈,+5%~+7%
20260203,601992.SS,2.0899999141693115,2.3399999141693115,0.10683761075638705,3,-0.01913873851469783,7,到期,-3%~0%
20250508,002820.SZ,11.04946231842041,13.348145484924316,0.17220992752139902,2,0.006250021037957243,7,到期,0~+3%
20260311,002951.SZ,15.670000076293944,19.479999542236328,0.19558519278614891,3,0.05,1,止盈,+3%~+5%
20250819,002644.SZ,9.5600004196167,11.760000228881836,0.18707481007203322,3,-0.052301252934468745,7,到期,-7%~-3%
20250912,603716.SS,31.309999465942383,34.66999816894531,0.09691372600107476,2,0.05,3,止盈,+3%~+5%
20251112,002490.SZ,8.029999732971191,9.359999656677246,0.14209401415493195,3,0.05,1,止盈,+3%~+5%
20250714,300801.SZ,24.579999923706055,31.15999984741211,0.21116816289883694,3,-0.08340110835734527,7,到期,<=-7%
20250825,002879.SZ,19.00520896911621,20.668041229248047,0.08045427438855239,2,-0.1,6,止损,<=-7%
20250509,002040.SZ,6.904763221740723,8.09353256225586,0.14687892232113273,2,0.05,2,止盈,+3%~+5%
20260224,600916.SS,11.729999542236328,13.5,0.13111114501953125,5,0.0511509296576953,4,止盈,+5%~+7%
20250716,600152.SS,6.929999828338623,7.610000133514404,0.08935614891530201,2,-0.04473303758419567,7,到期,-7%~-3%
20250701,603585.SS,19.61000061035156,24.020000457763672,0.1835969926464646,2,0.05,2,止盈,+3%~+5%
20250821,002908.SZ,12.050000190734863,13.289999961853027,0.09330321856112862,2,-0.04896266748954381,7,到期,-7%~-3%
20250912,002232.SZ,22.530000686645508,25.84000015258789,0.12809595380791375,3,0.05,5,止盈,+3%~+5%
20250624,300237.SZ,2.200000047683716,2.5,0.11999998092651368,2,-0.018181800448205276,7,到期,-3%~0%
20250808,003037.SZ,9.119999885559082,10.550000190734863,0.13554505017275967,2,-0.013157882353605488,7,到期,-3%~0%
20250207,002571.SZ,4.25,5.300000190734863,0.19811323640523815,2,0.05,1,止盈,+3%~+5%
20251107,000626.SZ,8.300000190734863,10.739999771118164,0.2271880477078695,5,0.05,5,止盈,+3%~+5%
20260224,000878.SZ,23.469999313354492,29.469999313354492,0.20359688292497066,2,0.05,1,止盈,+3%~+5%
20260224,002524.SZ,4.849999904632568,5.559999942779541,0.12769784990178099,2,-0.057731904840605086,7,到期,-7%~-3%
20250423,603507.SS,22.983861923217773,28.79405403137207,0.20178444139279245,2,0.053310418078824195,5,止盈,+5%~+7%
20260123,000917.SZ,11.859999656677246,13.270000457763672,0.10625476657474406,2,-0.1,6,止损,<=-7%
20260401,603248.SS,30.06999969482422,34.119998931884766,0.11869869178910984,3,-0.06152312604739252,7,到期,-7%~-3%
20250403,603214.SS,20.39522933959961,22.964244842529297,0.11187023655887543,2,0.05,3,止盈,+3%~+5%
20251201,001277.SZ,39.43000030517578,48.84000015258789,0.1926699389437553,2,-0.028151169205186566,7,到期,-3%~0%
20251223,002578.SZ,4.570000171661377,5.460000038146973,0.1630036374116301,2,0.05,3,止盈,+3%~+5%
20260113,605007.SS,13.829999923706056,15.609999656677246,0.1140294536912297,3,-0.018076645074413533,7,到期,-3%~0%
20251010,600337.SS,2.380000114440918,2.700000047683716,0.11851849170051695,2,-0.03361351188145911,7,到期,-7%~-3%
20250818,001318.SZ,14.380000114440918,18.13999938964844,0.20727670351263408,3,0.05,2,止盈,+3%~+5%
20250804,600201.SS,8.75,9.529999732971191,0.08184677385379202,2,-0.013714272635323654,7,到期,-3%~0%
20251128,000619.SZ,6.510000228881836,7.869999885559082,0.17280809103603084,2,-0.006144460412262687,7,到期,-3%~0%
20250813,600684.SS,4.909999847412109,5.420000076293945,0.09409598186400041,2,0.05,6,止盈,+3%~+5%
20250513,601008.SS,5.590000152587891,6.418022155761719,0.1290151362956077,2,0.05,1,止盈,+3%~+5%
20251224,003016.SZ,10.329999923706056,12.789999961853027,0.19233776743425132,2,0.07938041634854409,1,止盈,>+7%
20250721,002696.SZ,6.369999885559082,7.400000095367432,0.13918921574786913,2,0.004709609159705197,7,到期,0~+3%
20251208,002213.SZ,28.1299991607666,36.63999938964844,0.23225983544328574,3,-0.10202627150759402,6,止损,<=-7%
20250826,002313.SZ,12.600000381469728,14.960000038146973,0.15775398734354326,4,0.05,1,止盈,+3%~+5%
20250507,000668.SZ,5.380000114440918,5.920000076293945,0.0912162085969228,2,0.05,1,止盈,+3%~+5%
20250310,600421.SS,6.989999771118164,8.369999885559082,0.16487456789836497,3,-0.07153076056825347,7,到期,<=-7%
20250306,601116.SS,11.81166934967041,13.893193244934082,0.1498232881790991,3,0.009143806276292521,7,到期,0~+3%
20260119,300986.SZ,28.399999618530273,33.380001068115234,0.14919117106745353,6,0.05633804235778106,1,止盈,+5%~+7%
20250729,600622.SS,3.2300000190734863,3.640000104904175,0.11263738297103208,2,-0.1,4,止损,<=-7%
20251212,001296.SZ,28.176921844482425,30.649105072021484,0.08066086176838586,3,0.05,3,止盈,+3%~+5%
20251204,603877.SS,16.239999771118164,18.010000228881836,0.0982787582048556,2,0.05,4,止盈,+3%~+5%
20250805,002730.SZ,17.860000610351562,19.809999465942383,0.09843507865526623,2,0.003919355679285141,7,到期,0~+3%
20250729,600606.SS,2.0299999713897705,2.2899999618530273,0.1135371156307223,3,0.05,1,止盈,+3%~+5%
20250227,000785.SZ,4.75,5.570000171661377,0.14721726147035172,5,0.05,1,止盈,+3%~+5%
20260129,000785.SZ,3.2100000381469727,3.609999895095825,0.11080328769323546,2,-0.05607478648539521,7,到期,-7%~-3%
20250306,300816.SZ,33.305580139160156,37.90530014038086,0.12134767391857636,2,0.05,1,止盈,+3%~+5%
20250312,603109.SS,22.1927433013916,24.39719009399414,0.09035658549650798,2,0.05,3,止盈,+3%~+5%
20250604,000520.SZ,4.849999904632568,5.599999904632568,0.13392857370936145,2,0.05,4,止盈,+3%~+5%
20260327,600769.SS,13.600000381469728,15.020000457763672,0.09454061471482587,2,0.05,2,止盈,+3%~+5%
20250717,002651.SZ,11.8100004196167,13.151325225830078,0.1019916079315663,2,0.05,3,止盈,+3%~+5%
20250807,600585.SS,23.76321792602539,26.890737533569336,0.11630471658278889,2,0.007913381497531402,7,到期,0~+3%
20251128,600939.SS,3.819999933242798,4.369999885559082,0.12585811595414245,3,0.05,3,止盈,+3%~+5%
20251229,603386.SS,15.770000457763672,20.149999618530273,0.21736968951298052,5,0.05,1,止盈,+3%~+5%
20260323,603727.SS,19.75,21.790000915527344,0.09362096511311566,2,0.05,3,止盈,+3%~+5%
20251021,600159.SS,3.109999895095825,3.6700000762939458,0.1525886020590011,2,-0.02893888013026391,7,到期,-3%~0%
20250717,300965.SZ,56.740814208984375,65.54679870605469,0.13434652295622923,2,0.05,1,止盈,+3%~+5%
20250612,603639.SS,14.422103881835938,15.7051420211792,0.08169541782003742,2,-0.06287619013359547,7,到期,-7%~-3%
20251105,600293.SS,3.3399999141693115,3.740000009536743,0.1069518968843473,2,0.05,3,止盈,+3%~+5%
20251128,002136.SZ,13.65999984741211,15.630000114440918,0.12603968346799177,2,-0.1,4,止损,<=-7%
20251105,002767.SZ,19.969999313354492,25.030000686645508,0.2021574604267081,3,0.02553831980058119,7,到期,0~+3%
20250725,000892.SZ,4.900000095367432,5.690000057220459,0.1388400621983366,2,0.05,1,止盈,+3%~+5%
