trigger_date,stock_code,trigger_price,highest_price,pullback_ratio,limit_series_len,return,hold_days_actual,exit_reason
20231018,600615.SS,8.633992195129395,10.19094181060791,0.15277779467427266,3,0.048979999999999996,3,止盈
20230213,002144.SZ,11.560358047485352,14.370503425598145,0.19554954303876979,3,-0.021299133641766367,10,到期
20231229,000409.SZ,9.260000228881836,10.899999618530272,0.15045866486640933,3,-0.11402,7,止损
20240102,600579.SS,7.46999979019165,10.010000228881836,0.2537462917694574,3,-0.04351932416150548,10,到期
20240318,600302.SS,4.78000020980835,5.46999979019165,0.1261425241040321,3,0.048979999999999996,3,止盈
20230705,603333.SS,5.027881145477295,5.904026508331299,0.1483979385285036,3,-0.029742837255746758,10,到期
20231227,605179.SS,14.517169952392578,17.487939834594727,0.1698753489719445,3,0.048979999999999996,1,止盈
20230420,001366.SZ,18.8033447265625,21.59737777709961,0.12936908727409083,3,-0.11402,2,止损
20240318,301138.SZ,30.07236671447754,34.74772262573242,0.1345514341072974,3,-0.11402,5,止损
20231205,002584.SZ,9.709884643554688,12.946513175964355,0.25000001841565955,4,0.048979999999999996,1,止盈
20230524,601900.SS,17.180944442749023,20.10900096585947,0.14560924871810502,3,0.0609060817712427,3,止盈
20240517,002253.SZ,12.09000015258789,13.779999732971191,0.12264148135936934,4,-0.11402,6,止损
20230404,002888.SZ,18.027172088623047,20.51266098022461,0.12116852581913763,4,0.048979999999999996,1,止盈
20231205,002725.SZ,12.270000457763672,15.270000457763672,0.19646364833438631,3,-0.10552451592364018,10,到期
20240220,600648.SS,9.221259117126465,11.623591423034668,0.20667728402320307,3,-0.06013634086036777,10,到期
20240510,603860.SS,28.205461502075195,37.646827697753906,0.2507878292290217,4,-0.0833379255716796,10,到期
20230802,002590.SZ,12.384711265563965,15.670044898986816,0.20965693810074995,4,-0.11402,5,止损
20240318,603798.SS,9.170804977416992,10.859647750854492,0.1555154285096046,3,0.048979999999999996,1,止盈
20231114,000631.SZ,3.3727195262908936,4.589581489562988,0.2651357135807087,6,0.048979999999999996,8,止盈
20240402,603095.SS,11.454449653625488,13.359176635742188,0.142578171847855,3,-0.11402,8,止损
20230612,301083.SZ,20.931053161621097,24.87900733947754,0.15868616154921514,3,0.048979999999999996,4,止盈
20231031,002708.SZ,7.949999809265137,10.529999732971191,0.2450142439821383,3,0.048979999999999996,1,止盈
20230629,000802.SZ,7.889999866485596,9.140000343322754,0.13676153499822882,3,0.048979999999999996,1,止盈
20230801,002893.SZ,13.1132230758667,16.2368221282959,0.19237748789436482,4,-0.08216982460996411,10,到期
20240103,002893.SZ,11.423728942871094,14.822362899780272,0.22929096932038814,3,-0.11402,9,止损
20230316,601566.SS,10.746881484985352,12.885101318359377,0.16594513155495144,5,-0.11402,2,止损
20231115,603768.SS,22.650278091430664,27.061899185180664,0.1630196411405539,4,0.048979999999999996,1,止盈
20231011,002889.SZ,11.577743530273438,14.19615650177002,0.18444520326118624,3,-0.05976280766356643,10,到期
20231222,600444.SS,15.060731887817385,18.45136833190918,0.18376070452336815,3,-0.03997812927320019,10,到期
20231106,600439.SS,2.8065712451934814,3.353952169418335,0.16320474967291618,3,-0.019750450363939055,10,到期
20231027,605588.SS,58.050315856933594,75.9994888305664,0.2361749170925186,3,0.048979999999999996,9,止盈
20230612,002546.SZ,5.823317050933838,6.840531826019287,0.1487040483045888,3,0.004390379761325746,10,到期
20230526,603357.SS,9.88160228729248,11.95732307434082,0.1735941041438131,3,0.048979999999999996,7,止盈
20230915,002333.SZ,6.636653900146484,8.08501148223877,0.17914106680912587,3,0.048979999999999996,3,止盈
20240321,603273.SS,29.30164337158203,34.173728942871094,0.14256815752924784,6,-0.11402,2,止损
20240307,300486.SZ,6.440000057220459,7.920000076293945,0.18686868747683547,3,-0.015995178849103155,10,到期
20230221,002842.SZ,9.960000038146973,11.31999969482422,0.12014131566620738,3,-0.07029312274812935,10,到期
20230918,603025.SS,12.851602554321287,16.064504623413086,0.20000007123837357,3,-0.04504671988371509,10,到期
